"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30030","@smoke API détail d'un produit","smoke-api","2026-07-29","broken","2026-07-29","","api/product.spec.ts","",""
"","30368","@smoke déjà connecté à zotoshop et store accessible","smoke-chrome","2026-07-29","broken","2026-07-29","Tests de connexion","e2e/connected.spec.ts","",""
"","857","@smoke API content-type JSON","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","915","@smoke chaque produit a un titre non vide","smoke-chrome","2026-07-29","passed","2026-07-29","@regression Store page - POM","e2e/store-page.pom.spec.ts","",""
"","12338","@smoke TC-07 — Chaque carte affiche un prix visible","smoke-chrome","2026-07-29","passed","2026-07-29","Store Page — Plan TC-01 à TC-10 > Partie 2 — Prix","e2e/store-page-plan.spec.ts","",""
"","9611","@smoke ajouter un produit au panier affiche le panier non vide","smoke-chrome","2026-07-29","passed","2026-07-29","@smoke Panier — ajout d'article","e2e/panier-corrige.spec.ts","",""
"","575","@smoke API liste des régions","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","654","@smoke API check publishable key valide","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","292","@smoke API pagination offset 0","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","11506","@regression @smoke store affiche au moins un produit","smoke-chrome","2026-07-29","passed","2026-07-29","@regression Store page - POM","e2e/store-page.pom.spec.ts","",""
"","1662","@smoke TC-08 — Le premier prix est strictement positif","smoke-chrome","2026-07-29","passed","2026-07-29","Store Page — Plan TC-01 à TC-10 > Partie 2 — Prix","e2e/store-page-plan.spec.ts","",""
"","3098","@smoke déjà connecté à zotoshop et panier accessible","smoke-chrome","2026-07-29","passed","2026-07-29","Tests de connexion","e2e/connected.spec.ts","",""
"","2027","@smoke devrait être connecté grâce au global setup","smoke-chrome","2026-07-29","passed","2026-07-29","Tests de connexion","e2e/connected.spec.ts","",""
"","312","@smoke API count total cohérent","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","21366","@smoke ajouter un produit incrémente le compteur de navigation","smoke-chrome","2026-07-29","passed","2026-07-29","@smoke Panier — ajout d'article","e2e/panier-corrige.spec.ts","",""
"","238","@smoke API limite param respectée","smoke-api","2026-07-29","passed","2026-07-29","","api/product.spec.ts","",""
"","11649","@smoke TC-04 — Chaque carte affiche un titre non vide","smoke-chrome","2026-07-29","passed","2026-07-29","Store Page — Plan TC-01 à TC-10 > Partie 1 — Affichage des produits","e2e/store-page-plan.spec.ts","",""
"","11482","@regression @smoke le premier produit a un prix positif","smoke-chrome","2026-07-29","passed","2026-07-29","@regression Store page - POM","e2e/store-page.pom.spec.ts","",""
"","30017","@smoke API liste produits","smoke-api","2026-07-29","broken","2026-07-29","Tests de connexion","api/product.spec.ts","",""
"","1853","@smoke TC-02 — Au moins un produit est affiché","smoke-chrome","2026-07-29","passed","2026-07-29","Store Page — Plan TC-01 à TC-10 > Partie 1 — Affichage des produits","e2e/store-page-plan.spec.ts","",""
"","11947","@smoke TC-01 — Chargement de la page boutique","smoke-chrome","2026-07-29","passed","2026-07-29","Store Page — Plan TC-01 à TC-10 > Partie 1 — Affichage des produits","e2e/store-page-plan.spec.ts","",""
